                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.99348,                 1.2703,                 1.3446,                0.41525,                0.32044,                0.31861,                0.10322,                 1.9265,                 2.8628,                 2.0005,             0.00062705,             0.00062705,             0.00062705
                     46,                0.98867,                 1.2606,                  1.342,                0.34024,                0.33421,                0.33208,                0.23173,                 1.9278,                 2.7946,                 2.0626,             0.00061605,             0.00061605,             0.00061605
                     47,                0.97108,                 1.2679,                 1.3467,                0.42322,                0.31195,                0.33566,                0.13659,                 1.8839,                 2.8092,                 2.0484,             0.00060505,             0.00060505,             0.00060505
                     48,                0.96634,                 1.2303,                 1.3393,                 0.3692,                 0.3214,                0.32355,                0.12768,                 1.8517,                 2.8522,                 2.0544,             0.00059405,             0.00059405,             0.00059405
                     49,                0.97494,                 1.2282,                 1.3372,                0.38178,                0.31809,                0.31672,                0.11006,                   2.02,                 2.8387,                 2.1829,             0.00058305,             0.00058305,             0.00058305
                     50,                0.98373,                 1.2375,                 1.3382,                0.23368,                0.34076,                0.20802,                0.10417,                 1.8871,                 2.7426,                 2.0492,             0.00057205,             0.00057205,             0.00057205
                     51,                0.94694,                  1.194,                 1.3052,                  0.293,                0.29299,                0.21719,                0.11324,                 1.9215,                 2.8876,                 2.0624,             0.00056105,             0.00056105,             0.00056105
                     52,                0.95289,                 1.2069,                 1.3203,                0.47981,                0.29879,                0.34387,                0.12821,                 1.9606,                 2.8727,                 2.1412,             0.00055006,             0.00055006,             0.00055006
                     53,                0.96572,                  1.205,                 1.3197,                 0.4673,                0.26315,                0.31999,                0.08723,                  1.844,                 2.9627,                 2.0426,             0.00053906,             0.00053906,             0.00053906
                     54,                 0.9448,                 1.1653,                  1.305,                0.34684,                 0.3075,                 0.3374,                0.14426,                 1.8416,                 3.0253,                 1.9761,             0.00052806,             0.00052806,             0.00052806
                     55,                0.94329,                 1.1651,                 1.3143,                0.26537,                0.37779,                 0.3146,                0.23439,                 1.8064,                 2.8453,                 2.0166,             0.00051706,             0.00051706,             0.00051706
                     56,                0.92506,                 1.1588,                 1.3021,                0.23605,                0.35727,                0.17789,                0.08478,                  1.913,                 2.9149,                 2.0829,             0.00050606,             0.00050606,             0.00050606
                     57,                0.93596,                 1.1627,                 1.3057,                0.34703,                0.34675,                 0.3333,                0.16091,                 1.8959,                 2.9738,                 2.0147,             0.00049506,             0.00049506,             0.00049506
                     58,                0.94489,                 1.1488,                 1.3033,                0.28492,                0.33675,                0.21672,                0.14274,                 1.8992,                 2.9694,                   2.09,             0.00048406,             0.00048406,             0.00048406
                     59,                0.92734,                 1.1466,                 1.3008,                0.30413,                0.36864,                0.34753,                0.23281,                 1.9019,                 3.0235,                 2.0233,             0.00047306,             0.00047306,             0.00047306
                     60,                0.89749,                  1.095,                 1.2772,                0.35051,                0.37961,                0.24963,                0.13912,                 1.9069,                 2.8456,                 2.0909,             0.00046206,             0.00046206,             0.00046206
                     61,                0.92034,                 1.1283,                 1.2823,                0.22914,                0.36148,                0.20215,                0.10678,                 1.9201,                 2.7917,                  2.056,             0.00045107,             0.00045107,             0.00045107
                     62,                 0.9053,                 1.1089,                 1.2932,                0.37665,                0.31857,                0.32317,                0.18213,                 1.8466,                 2.7538,                 1.9967,             0.00044007,             0.00044007,             0.00044007
                     63,                0.90321,                 1.1036,                 1.2801,                0.36131,                0.31027,                0.33042,                0.21249,                 1.8301,                 2.9734,                 1.9726,             0.00042907,             0.00042907,             0.00042907
                     64,                0.90456,                 1.1177,                 1.2794,                0.37865,                0.34338,                0.33001,                0.13492,                 1.9156,                 2.8706,                 2.0525,             0.00041807,             0.00041807,             0.00041807
                     65,                0.89691,                 1.0959,                 1.2765,                0.39656,                0.32532,                0.31397,                0.19879,                 1.8516,                 3.0327,                 1.9809,             0.00040707,             0.00040707,             0.00040707
                     66,                0.89148,                 1.0756,                 1.2706,                0.30556,                0.33246,                0.22401,                0.13739,                 1.8628,                 2.9523,                 2.0319,             0.00039607,             0.00039607,             0.00039607
                     67,                0.89758,                 1.0832,                 1.2822,                0.21776,                0.38403,                0.19234,                 0.1129,                 1.8711,                 3.1358,                 2.0891,             0.00038507,             0.00038507,             0.00038507
